,Equity,Issue price,Listed Date,Open,Close,Listing Gains (%ge),CMP,Current gains %ge
341,Avenue Supermar,299.0,21st Mar,604.0,640.75,114.3,,837.99
342,IFL Enterprises,20.0,21st Mar,10.05,,,21.0,5.0
343,Music Broadcast,333.0,17th Mar,413.0,59.7,-82.07,23.35,-92.99
344,Akash Infraproj,125.0,15th Mar,70.05,64.08,-48.74,199.25,59.4
345,RMC Switchgears,27.0,14th Mar,69.0,,,16.2,-40.0
346,Nitiraj Enginee,100.0,9th Mar,76.0,75.6,-24.4,47.85,-52.15
347,Global Educatio,150.0,2nd Mar,233.0,43.9,-70.73,41.9,-72.07
348,Tanvi Foods,60.0,2nd Mar,68.5,,,48.0,-20.0
349,Krishana Phosch,30.0,27th Feb,36.25,36.0,20.0,84.7,182.33
350,Steel City Secu,55.0,17th Feb,52.6,50.1,-8.91,38.9,-29.27
351,Madhav Copper,81.0,6th Feb,304.0,7.82,-90.35,90.25,11.42
352,BSE Limited,806.0,3rd Feb,1085.0,1069.2,32.66,541.4,-32.83
353,Super Fine Knit,12.0,2nd Feb,17.9,12.6,5.0,7.1,-40.83
354,Maheshwari Logi,68.0,16th Jan,192.3,38.18,-43.85,77.5,13.97
355,Libas Consumer,68.0,9th Jan,138.9,47.6,-30.0,49.5,-27.21
356,Laurus Labs,428.0,19th Dec,489.9,96.1,-77.55,348.55,-18.56
357,Aditya Vision,15.0,12th Dec,103.07,15.27,1.8,184.3,1128.67
358,Sheela Foam,730.0,9th Dec,860.0,1032.0,41.37,,167.06
359,Jet Freight Log,28.0,6th Dec,118.8,33.6,20.0,16.65,-40.54
360,Agro Phos India,22.0,16th Nov,26.4,22.85,3.86,13.55,-38.41
361,Varun Beverages,445.0,8th Nov,430.0,307.93,-30.8,,125.25
362,PNB Housing Fin,775.0,7th Nov,860.0,890.6,14.92,372.85,-51.89
363,Globe Internati,24.0,19th Oct,24.15,19.96,-16.83,16.16,-32.67
364,Endurance Techn,472.0,19th Oct,572.0,647.7,37.22,,195.06
365,Art Nirman,25.0,19th Oct,30.05,30.0,20.0,27.0,8.0
366,India Green Rea,30.0,18th Oct,19.0,,,6.0,-80.0
367,Pansari Develop,22.0,18th Oct,18.5,22.9,4.09,50.5,129.55
368,Dhanuka Realty,40.0,18th Oct,41.0,41.25,3.13,7.5,-81.25
369,Diksat Transwor,40.0,18th Oct,68.0,,,92.0,130.0
370,Shashijit Infra,15.0,17th Oct,30.05,12.71,-15.27,30.15,101.0
371,Mewar Hi-Tech E,22.0,17th Oct,23.6,,,28.55,29.77
372,Aurangabad Dist,35.0,17th Oct,33.9,42.0,20.0,34.05,-2.71
373,Bindal Exports,16.0,17th Oct,20.07,16.2,1.25,5.0,-68.75
374,Valiant Organic,220.0,14th Oct,264.0,,,,452.27
375,Gretex Industri,20.0,14th Oct,18.9,24.0,20.0,10.35,-48.25
376,HPL Electric &,202.0,4th Oct,190.0,189.05,-6.41,52.25,-74.13
377,ICICI Prudentia,334.0,29th Sep,329.0,297.65,-10.88,428.5,28.29
378,Radhika Jewel,75.0,27th Sep,73.95,,,15.3,-79.6
379,GNA Axles,207.0,27th Sep,252.0,233.45,12.78,356.9,72.42
380,L&T Technology,860.0,23rd Sep,900.0,865.1,0.59,,189.5
381,Narayani Steels,32.0,14th Sep,33.45,,,20.3,-36.56
382,Sprayking Agro,21.0,14th Sep,24.0,,,18.1,-13.81
383,Mitsu Chem Plas,0.0,9th Sep,0.0,,,104.0,
384,Shiva Granito E,0.0,6th Sep,0.0,,,2.65,
385,RBL Bank,225.0,31st Aug,274.4,299.3,33.02,205.0,-8.89
386,S P Apparels,268.0,12th Aug,275.0,295.0,10.07,152.75,-43.0
387,Dilip Buildcon,219.0,11th Aug,240.0,251.95,15.05,544.7,148.72
388,Prabhat Technol,0.0,7th Aug,0.0,,,328.65,
389,Titaanium Ten E,0.0,1st Aug,0.0,,,4.95,
390,Advanced Enzyme,896.0,1st Aug,1210.0,235.66,-73.7,336.15,-62.48
391,Kwality Pharmac,0.0,24th Jul,0.0,,,49.1,
392,L&T Infotech,710.0,21st Jul,667.0,697.65,-1.74,,435.73
393,Quess Corp,317.0,12th Jul,500.0,503.0,58.68,687.95,117.02
394,Yash Chemex,23.0,1st Jul,125.75,10.04,-56.35,39.8,73.04
395,Mahanagar Gas,421.0,1st Jul,540.0,519.9,23.49,,172.07
396,United Polyfab,45.0,7th Jun,28.5,14.67,-67.4,13.2,-70.67
397,Darshan Orna,60.0,1st Jun,150.0,29.05,-51.58,11.0,-81.67
398,Bajaj Healthcar,0.0,1st Jun,0.0,86.63,0.0,464.0,
399,Parag Milk Food,215.0,19th May,230.0,247.8,15.26,94.6,-56.0
400,Sagardeep Alloy,20.0,17th May,29.1,19.0,-5.0,33.6,68.0
401,Ujjivan Financi,210.0,10th May,231.9,231.6,10.29,212.8,1.33
402,Thyrocare Techn,446.0,9th May,662.0,618.1,38.59,856.0,91.93
403,Ghushine Fintrr,10.0,5th May,9.0,8.0,-20.0,7.05,-29.5
404,Equitas Holding,110.0,21st Apr,145.1,135.25,22.95,85.55,-22.23
405,Bharat Wire Rop,45.0,1st Apr,47.25,45.4,0.89,35.0,-22.22
406,Healthcare Glob,218.0,30th Mar,210.2,,,168.1,-22.89
407,Quick Heal Tech,321.0,18th Feb,305.0,254.45,-20.73,182.4,-43.18
408,TeamLease Ser.,850.0,12th Feb,860.0,1021.95,20.23,,312.58
409,Precision Camsh,186.0,8th Feb,165.0,177.25,-4.7,40.0,-78.49
410,Fourth Dimensio,30.0,22nd Jan,31.8,36.0,20.0,7.2,-76.0
411,Osiajee,25.0,14th Jan,26.75,27.35,9.4,21.0,-16.0
412,Narayana Hruda,250.0,6th Jan,291.0,336.7,34.68,389.4,55.76
413,Dr Lal PathLab,550.0,23rd Dec,717.0,824.15,49.85,,345.65
414,Alkem Lab,1050.0,23rd Dec,1380.0,1381.45,31.57,,150.38
415,S H Kelkar,180.0,16th Nov,216.0,207.3,15.17,110.8,-38.44
416,Interglobe Avi,765.0,10th Nov,868.0,878.45,14.83,,118.47
417,Coffee Day,328.0,2nd Nov,313.0,270.15,-17.64,26.05,-92.06
418,Tejnaksh,80.0,27th Oct,80.0,8.26,-89.68,71.9,-10.13
419,Arambhan,14.0,19th Oct,15.25,16.01,14.36,2.3,-83.57
420,Vaksons Auto,26.0,16th Oct,26.25,16.88,-35.08,25.35,-2.5
421,Patdiam Jewel,38.0,16th Oct,43.0,45.15,18.82,81.5,114.47
422,Vishal Bearing,25.0,15th Oct,26.0,12.13,-51.48,27.3,9.2
423,Bella Casa,14.0,15th Oct,14.3,14.7,5.0,128.0,814.29
424,Prabhat Dairy,115.0,21st Sep,113.0,116.35,1.17,94.35,-17.96
425,Sadbhav Infra,103.0,16th Sep,111.0,106.15,3.06,19.7,-80.87
426,H K Trade Intl,18.0,14th Sep,18.45,13.07,-27.39,22.35,24.17
427,Shree Pushkar,65.0,10th Sep,60.05,63.0,-3.08,134.5,106.92
428,Pennar Eng,178.0,10th Sep,177.95,157.5,-11.52,63.85,-64.13
429,Navkar Corp,155.0,9th Sep,152.0,166.4,7.35,34.5,-77.74
430,Universal Auto,15.0,4th Sep,16.0,16.0,6.67,34.75,131.67
431,THINKINK PICTUR,40.0,2nd Sep,45.0,22.5,-43.75,29.35,-26.63
432,Power Mech,640.0,26th Aug,600.0,585.75,-8.48,520.0,-18.75
433,Mangalam Seeds,50.0,12th Aug,57.75,28.88,-42.24,65.2,30.4
434,Pecos Hotels,50.0,11th Aug,53.25,53.25,6.5,20.0,-60.0
435,Syngene Intl,250.0,11th Aug,295.0,155.2,-37.92,527.9,111.16
436,Amrapali Fincap,120.0,5th Aug,122.3,121.0,0.83,19.4,-83.83
437,Majestic Resear,12.75,16th Jul,14.0,,,6.46,-49.33
438,Gala Global Prd,24.0,16th Jul,23.4,,,27.9,16.25
439,M.D. Inducto,27.0,16th Jul,28.1,,,31.1,15.19
440,Jiya Eco,19.0,16th Jul,21.75,,,5.29,-72.16
441,Loyal Equip,18.0,16th Jul,20.05,,,29.9,66.11
442,Ambition Mica,40.0,14th Jul,45.0,15.05,-62.38,5.0,-87.5
443,VMV Holidays,10.0,14th Jul,10.25,10.5,5.0,13.3,33.0
444,Mishka Exim,10.0,13th Jul,13.5,13.5,35.0,26.0,160.0
445,Junction Fabric,16.0,10th Jul,17.5,11.53,-27.94,91.95,474.69
446,Manpasand Bever,320.0,9th Jul,291.0,163.43,-48.93,6.14,-98.08
447,Funny Software,14.0,2nd Jun,13.5,13.5,-3.57,0.39,-97.21
448,PNC Infratech,378.0,26th May,381.0,72.04,-80.94,249.95,-33.88
449,UFO Moviez,625.0,14th May,600.0,598.8,-4.19,72.2,-88.45
450,MEP Infra,63.0,6th May,63.0,60.95,-3.25,16.5,-73.81
451,VRL Logistics,205.0,30th Apr,288.0,293.3,43.07,228.05,11.24
452,O. P. Chains,11.0,22nd Apr,11.25,11.81,7.36,11.0,0.0
453,Athena Constr,10.0,16th Apr,15.71,15.4,54.0,8.0,-20.0
454,HKG,15.0,15th Apr,14.25,2.85,-81.0,41.1,174.0
455,Filtra Consult,42.0,15th Apr,44.9,14.97,-64.36,8.25,-80.36
456,Inox Wind,325.0,9th Apr,400.0,438.0,34.77,73.1,-77.51
457,Imagicaaworld,180.0,6th Apr,167.95,191.25,6.25,6.99,-96.12
458,Supreme India,60.0,31st Mar,62.0,,,26.0,-56.67
459,AGI Infra,54.0,27th Mar,54.4,54.65,1.2,97.45,80.46
460,SVP Housing,10.0,27th Mar,10.1,10.1,1.0,9.7,-3.0
461,SSPN Finance,20.0,26th Mar,14.4,7.2,-64.0,18.05,-9.75
462,Akme Star,30.0,20th Mar,31.5,15.88,-47.07,72.75,142.5
463,Ortel Comm,181.0,19th Mar,181.0,171.95,-5.0,0.95,-99.48
464,Laxmipati Eng.,25.0,6th Mar,26.1,,,27.25,9.0
465,Chemtech Ind,15.0,18th Feb,14.35,,,7.51,-49.93
466,Karnavati Fin,10.0,5th Feb,10.6,,,18.0,80.0
467,Raghuvansh Agro,11.0,28th Jan,11.55,,,152.0,1281.82
468,Sanco Ind,18.0,6th Jan,19.4,19.4,7.78,7.95,-55.83
469,Amsons Apparels,10.0,6th Jan,7.6,7.65,-23.5,0.73,-92.7
470,Monte Carlo,645.0,19th Dec,585.0,566.4,-12.19,212.45,-67.06
471,Anubhav Infra,15.0,12th Dec,14.15,14.15,-5.67,3.61,-75.93
472,Captain Pipes,40.0,11th Dec,41.9,39.85,-0.37,20.0,-50.0
473,Aanchal Ispat,20.0,10th Dec,22.1,21.0,5.0,5.75,-71.25
474,Jet Infra,125.0,25th Nov,130.0,64.55,-48.36,79.0,-36.8
475,JLA Infraville,10.0,12th Nov,11.05,11.6,16.0,11.2,12.0
476,Starlit Power,0.0,22nd Oct,18.95,15.16,0.0,16.25,
477,Ceinsys Tech,40.0,22nd Oct,45.65,41.5,3.75,138.4,246.0
478,Vibrant Global,19.0,21st Oct,19.2,,,19.9,4.74
479,Hanman Fit,30.0,21st Oct,31.5,,,2.0,-93.33
480,Aryaman Cap,12.0,20th Oct,12.2,12.4,3.33,38.35,219.58
481,Dhabriya Poly,15.0,17th Oct,16.5,13.4,-10.67,50.0,233.33
482,Momai Apparels,78.0,16th Oct,78.0,79.7,2.18,156.3,100.38
483,Atishay,16.0,16th Oct,17.75,14.76,-7.75,31.4,96.25
484,Race Eco Chain,10.0,10th Oct,10.02,,,262.9,2529.0
485,Ultracab India,36.0,10th Oct,38.0,25.37,-29.53,128.1,255.83
486,Shemaroo Ent,170.0,1st Oct,180.0,171.0,0.59,69.25,-59.26
487,Encash Ent,40.0,29th Sep,46.2,46.2,15.5,25.85,-35.38
488,Naysaa Sec,15.0,25th Sep,14.3,,,26.7,78.0
489,Sirohia & Sons,12.0,24th Sep,11.8,11.8,-1.67,8.68,-27.67
490,Sharda Crop,156.0,23rd Sep,254.1,231.45,48.37,285.25,82.85
491,Snowman Logist,47.0,12th Sep,75.0,78.75,67.55,44.15,-6.06
492,Vishal Fabrics,45.0,20th Aug,45.2,17.04,-62.13,67.45,49.89
493,Trivikrama Ind,15.0,12th Aug,13.65,,,5.7,-62.0
494,Bhanderi Infra,120.0,11th Aug,113.5,,,128.7,7.25
495,Oasis Tradelink,30.0,14th Jul,35.09,,,0.92,-96.93
496,Tarini Int,41.0,26th Jun,42.0,41.9,2.2,14.95,-63.54
497,Moneyboxx Finan,10.0,11th Jun,10.0,,,67.95,579.5
498,SPS Finquest,75.0,3rd Jun,78.0,,,103.0,37.33
499,GCM Capital,20.0,22nd May,33.55,,,1.34,-93.3
500,Bansal Roofing,30.0,14th May,31.5,,,58.5,95.0
501,Wonderla,125.0,9th May,164.75,157.6,26.08,193.35,54.68
502,R&B Denims,10.0,22nd Apr,10.55,11.05,10.5,40.65,306.5
503,Womens Next,65.0,22nd Apr,67.0,68.0,4.62,0.89,-98.63
504,Oceanaa Biotek,10.0,3rd Apr,9.75,5.94,-40.6,6.25,-37.5
505,Krishna Prasad,10.0,28th Mar,11.9,12.45,24.5,2.01,-79.9
506,Karnimata Cold,20.0,18th Mar,29.05,,,6.75,-66.25
507,B C Power Contr,18.0,14th Mar,18.1,,,3.19,-82.28
508,Unishire Urban,10.0,28th Feb,12.05,11.45,14.5,1.25,-87.5
509,Polymac Thermo,35.0,28th Feb,37.0,37.0,5.71,11.65,-66.71
510,Agrimony Comm,10.0,18th Feb,14.35,,,4.2,-58.0
511,Suyog Tele,25.0,22nd Jan,25.2,21.04,-15.84,380.5,1422.0
512,RCI Industries,40.0,21st Jan,41.0,,,7.65,-80.88
513,Tentiwala Metal,13.0,31st Dec,12.5,11.9,-8.46,3.4,-73.85
514,Captain Poly,30.0,11th Dec,33.0,5.11,-82.97,43.55,45.17
515,Mitcon Cons,61.0,1st Nov,60.0,51.1,-16.23,40.8,-33.11
516,Stellar Capital,20.0,1st Nov,20.1,19.1,-4.5,1.98,-90.1
517,Amrapali Cap,100.0,31st Oct,100.6,101.1,1.1,5.71,-94.29
518,SRG Securities,20.0,29th Oct,24.25,,,35.2,76.0
519,VCU Data Mgmt,25.0,23rd Oct,36.25,36.25,45.0,6.39,-74.44
520,Subh Tex India,10.0,22nd Oct,12.6,,,15.7,57.0
521,Newever Trade,10.0,17th Oct,12.8,,,2.16,-78.4
522,Satkar Finlease,18.0,11th Oct,20.85,,,1.73,-90.39
523,Ace Tours,16.0,26th Sep,24.95,,,2.08,-87.0
524,R J Bio-Tech,20.0,25th Sep,22.05,,,5.64,-71.8
525,Tiger Logistics,66.0,12th Sep,69.1,,,46.65,-29.32
526,Kushal,35.0,4th Sep,7.16,,,5.04,-85.6
527,VKJ Infra,25.0,30th Aug,23.8,,,0.23,-99.08
528,Silverpoint,15.0,28th Aug,13.0,13.6,-9.33,8.0,-46.67
529,Alacrity Sec,15.0,14th Aug,12.05,,,6.9,-54.0
530,GCM Commodity,20.0,14th Aug,20.3,,,8.78,-56.1
531,Edynamics Sol,25.0,26th Jun,26.15,26.65,6.6,0.28,-98.88
532,India Finsec,10.0,11th Jun,10.5,,,7.37,-26.3
533,Just Dial,530.0,5th Jun,590.0,611.45,15.37,847.5,59.91
534,SDC Tech,14.0,5th Jun,12.4,12.4,-11.43,7.3,-47.86
535,Ashapura Intima,40.0,15th Apr,49.95,,,1.35,-96.63
536,Samruddhi Real,12.0,12th Apr,9.47,,,4.8,-60.0
537,GCM Securities,20.0,5th Apr,6.83,,,3.45,-82.75
538,Lakhotia Poly,35.0,4th Apr,12.05,,,8.09,-76.89
539,Repco Home,172.0,1st Apr,159.95,160.85,-6.48,320.45,86.31
540,Bothra Metals,25.0,25th Mar,25.0,25.0,0.0,3.6,-85.6
541,HPC Bio,35.0,19th Mar,37.25,3.91,-88.83,25.95,-25.86
542,NIBE,40.0,12th Mar,40.9,13.53,-66.18,21.45,-46.38
543,Channel Nine,25.0,12th Mar,26.25,1.76,-92.96,12.12,-51.52
544,Sunstar Realty,20.0,11th Mar,21.45,2.25,-88.75,0.19,-99.05
545,Esteem Bio,25.0,7th Feb,25.25,1.62,-93.52,5.41,-78.36
546,Eco Friendly,25.0,14th Jan,24.5,1.05,-95.8,10.62,-57.52
547,INDUS TOWERS,220.0,28th Dec,200.0,191.2,-13.09,240.8,9.45
548,PC Jeweller,135.0,27th Dec,137.0,74.5,-44.81,25.8,-80.89
549,CARE Ratings,750.0,26th Dec,940.0,923.95,23.19,426.25,-43.17
550,Veto Switch,50.0,13th Dec,58.0,,,120.55,141.1
551,Tara Jewels,230.0,6th Dec,242.0,229.95,-0.02,0.76,-99.67
552,Bronze Infra,15.0,7th Nov,16.7,16.3,8.67,0.59,-96.07
553,RCL Retail,10.0,16th Oct,10.1,10.45,4.5,13.2,32.0
554,Aditri Industri,27.0,12th Oct,26.85,13.58,-49.7,0.89,-96.7
555,Comfort Comm,10.0,24th Sep,10.3,10.8,8.0,6.5,-35.0
556,Thejo Engg,402.0,18th Sep,403.0,,,,181.62
557,SRG Housing Fin,20.0,11th Sep,20.3,14.5,-27.5,195.0,875.0
558,Jointeca Edu,15.0,4th Sep,15.2,15.0,0.0,13.35,-11.0
559,Jupiter Infomed,20.0,16th Aug,22.0,11.03,-44.85,27.55,37.75
560,Sangam Renewabl,22.0,9th Aug,22.1,14.01,-36.32,49.75,126.14
561,VKS Projects,55.0,18th Jul,55.8,1.57,-97.15,0.04,-99.93
562,Max Alert Syste,20.0,13th Jul,51.5,49.25,146.25,4.39,-78.05
563,Looks Health,40.0,30th May,42.0,,,6.27,-84.33
564,Speciality Rest,150.0,30th May,153.0,160.65,7.1,42.85,-71.43
565,Tribhovandas,120.0,9th May,115.0,111.2,-7.33,63.5,-47.08
566,MT Educare,80.0,12th Apr,86.05,90.35,12.94,6.72,-91.6
567,NBCC (India),106.0,12th Apr,100.0,6.47,-93.9,45.35,-57.22
568,Olympic Cards,30.0,28th Mar,29.95,28.5,-5.0,2.5,-91.67
569,Pyxis Finvest,25.0,14th Mar,27.0,25.35,1.4,32.0,28.0
570,MCX India,1032.0,9th Mar,1387.0,1297.05,25.68,,47.43
571,V-Mart Retail,210.0,20th Feb,214.0,,,,1178.0
572,Indo Thai Secu,74.0,2nd Nov,76.0,23.0,-68.92,50.25,-32.09
573,Vaswani Ind,49.0,24th Oct,33.45,17.75,-63.78,9.66,-80.29
574,Ujaas Energy,186.0,20th Oct,180.0,31.76,-82.92,2.59,-98.61
575,Taksheel Solut,150.0,19th Oct,157.4,58.15,-61.23,3.85,-97.43
576,Flexituff Ventu,155.0,19th Oct,155.0,166.4,7.35,17.5,-88.71
577,Onelife Capital,110.0,17th Oct,115.0,145.9,32.64,7.37,-93.3
578,Tijaria Polypip,60.0,14th Oct,62.0,18.1,-69.83,6.85,-88.58
579,Setubandhan Inf,138.0,4th Oct,145.0,22.95,-83.37,0.79,-99.43
580,PG Electroplast,210.0,26th Sep,200.0,411.65,96.02,370.45,76.4
581,SRS,58.0,16th Sep,55.0,16.83,-70.98,0.19,-99.67
582,TD Power System,256.0,8th Sep,251.6,274.8,7.34,145.15,-43.3
583,Brooks Labs,100.0,5th Sep,110.0,50.2,-49.8,50.85,-49.15
584,Tree House,135.0,26th Aug,132.8,116.55,-13.67,7.0,-94.81
585,L&T Finance,52.0,12th Aug,53.85,46.46,-10.65,92.35,77.6
586,Inventure Grow,117.0,4th Aug,119.0,51.99,-55.56,29.45,-74.83
587,Bharatiya Glob,82.0,28th Jul,84.0,30.95,-62.26,1.3,-98.41
588,Kridhan Infra,108.0,13th Jul,115.0,13.29,-87.69,3.79,-96.49
589,Rushil Decor,72.0,7th Jul,81.25,104.49,45.12,213.2,196.11
590,Birla Pacific,10.0,7th Jul,10.1,25.35,153.5,0.28,-97.2
591,Timbor Home,63.0,22nd Jun,72.0,91.2,44.76,2.21,-96.49
592,VMS Industries,40.0,14th Jun,43.95,28.5,-28.75,7.98,-80.05
593,Dr Datson Labs,234.0,27th May,218.0,311.25,33.01,6.29,-97.31
594,Sanghvi Forging,85.0,23rd May,88.0,111.75,31.47,19.2,-77.41
595,Innoventive Ind,117.0,13th May,110.0,93.6,-20.0,4.2,-96.41
596,Servalakshmi,29.0,12th May,30.0,19.0,-34.48,1.33,-95.41
597,Future Consumer,10.0,10th May,9.5,8.3,-17.0,6.57,-34.3
598,Paramount Print,35.0,9th May,35.0,26.65,-23.86,0.82,-97.66
599,Muthoot Finance,175.0,6th May,176.45,176.25,0.71,,571.03
600,Shilpi Cable,69.0,8th Apr,78.35,23.8,-65.51,1.1,-98.41
601,PTC India Fin,28.0,30th Mar,28.0,24.9,-11.07,17.7,-36.79
602,Lovable Lingeri,205.0,24th Mar,261.5,249.2,21.56,80.1,-60.93
603,Sudar Ind,77.0,11th Mar,74.0,113.1,46.88,1.02,-98.68
604,Fineotex Chem,70.0,11th Mar,80.0,14.09,-79.87,58.5,-16.43
605,Acropetal Tech,90.0,10th Mar,130.0,98.45,9.39,1.67,-98.14
606,Omkar Special,98.0,10th Feb,95.0,46.2,-52.86,10.23,-89.56
607,C Mahendra Expo,110.0,20th Jan,111.0,55.43,-49.61,1.79,-98.37
608,Shekhawati Poly,30.0,12th Jan,32.5,4.75,-84.17,0.38,-98.73
609,Punjab & Sind,120.0,30th Dec,146.1,127.05,5.87,16.4,-86.33
610,A2Z Infra Eng,400.0,23rd Dec,390.0,328.9,-17.78,3.85,-99.04
611,Claris Life,228.0,20th Dec,224.4,205.85,-9.71,396.55,73.93
612,MOIL,375.0,15th Dec,551.0,233.25,-37.8,136.1,-63.71
613,RPP Infra Proj,75.0,6th Dec,75.0,68.95,-8.07,58.65,-21.8
614,Gravita India,125.0,16th Nov,218.75,42.08,-66.34,90.4,-27.68
615,Coal India,245.0,4th Nov,300.0,342.35,39.73,127.8,-47.84
616,Gyscoal Alloys,71.0,27th Oct,76.6,8.16,-88.51,2.04,-97.13
617,Prestige Estate,183.0,27th Oct,190.0,192.55,5.22,295.35,61.39
618,BS Limited,248.0,27th Oct,251.0,18.93,-92.37,0.33,-99.87
619,Oberoi Realty,260.0,20th Oct,280.0,282.95,8.83,550.6,111.77
620,Commercial Eng,127.0,18th Oct,122.8,112.25,-11.61,16.0,-87.4
621,Bedmutha Ind,102.0,14th Oct,114.4,180.8,77.25,22.05,-78.38
622,Ashoka Buildcon,324.0,14th Oct,333.55,73.33,-77.37,93.35,-71.19
623,Sea TV Network,100.0,14th Oct,120.0,106.0,6.0,1.1,-98.9
624,Va Tech Wabag,1310.0,13th Oct,1655.0,341.88,-73.9,231.15,-82.35
625,Cantabil Retail,135.0,12th Oct,133.8,104.75,-22.41,372.55,175.96
626,Tecpro Systems,355.0,12th Oct,399.4,407.85,14.89,4.53,-98.72
627,Gallantt Ispat,50.0,11th Oct,81.6,8.16,-83.68,37.1,-25.8
628,Ramky Infra,450.0,8th Oct,450.0,387.35,-13.92,77.6,-82.76
629,Orient Green,47.0,8th Oct,45.7,44.9,-4.47,2.06,-95.62
630,Electrosteel St,11.0,8th Oct,11.15,11.25,2.27,31.05,182.27
631,Eros Intl,175.0,6th Oct,213.55,190.05,8.6,24.85,-85.8
632,Career Point,310.0,6th Oct,461.0,632.35,103.98,137.0,-55.81
633,Sasta Sundar,118.0,5th Oct,135.1,110.9,-6.02,117.5,-0.42
634,Tirupati Inks,43.0,1st Oct,53.95,36.65,-14.77,1.59,-96.3
635,Indosolar,29.0,29th Sep,29.75,23.7,-18.28,2.14,-92.62
636,Gujarat Pipavav,46.0,9th Sep,56.25,54.05,17.5,94.1,104.57
637,Prakash Steelag,110.0,25th Aug,118.55,18.8,-82.91,0.8,-99.27
638,Bajaj Consumer,660.0,18th Aug,730.0,151.65,-77.02,250.6,-62.03
639,Bharat Fin,985.0,16th Aug,1036.0,1088.58,10.52,898.2,-8.81
640,Shri Aster,118.0,28th Jul,127.7,199.1,68.73,1.28,-98.92
641,Hindustan Media,166.0,21st Jul,177.95,189.2,13.98,58.4,-64.82
642,Technofab Engg,240.0,16th Jul,265.0,295.65,23.19,7.57,-96.85
643,Parabolic Drugs,75.0,1st Jul,76.0,64.8,-13.6,5.7,-92.4
644,Jaypee Infra,102.0,21st May,98.0,91.3,-10.49,1.63,-98.4
645,SJVN,26.0,20th May,27.1,25.05,-3.65,25.1,-3.46
646,GB Global,130.0,19th May,131.0,133.65,2.81,7.35,-94.35
647,Tarapur Trans,75.0,18th May,75.0,56.9,-24.13,3.71,-95.05
648,NEL HOLDINGS SO,54.0,13th May,50.0,50.95,-5.65,1.68,-96.89
649,Talwalkars Fitn,128.0,10th May,138.0,162.6,27.03,1.45,-98.87
650,Goenka Diamond,135.0,16th Apr,130.0,12.79,-90.53,1.9,-98.59
651,Intrasoft Tech,145.0,12th Apr,140.0,159.35,9.9,68.5,-52.76
652,Shree Ganesh,260.0,9th Apr,258.85,163.25,-37.21,0.82,-99.68
653,Persistent,310.0,6th Apr,400.0,204.0,-34.19,,503.68
654,Pradip Overseas,110.0,5th Apr,120.0,89.29,-18.83,0.95,-99.14
655,ILandFS Trans,258.0,30th Mar,287.0,253.68,-1.67,2.3,-99.11
656,DQ Entertain,80.0,29th Mar,135.0,108.55,35.69,1.14,-98.58
657,United Bank,66.0,18th Mar,77.0,68.8,4.24,4.48,-93.21
658,Man Infra,252.0,11th Mar,335.0,69.65,-72.36,37.8,-85.0
659,Texmo Pipes,90.0,10th Mar,92.8,137.25,52.5,24.35,-72.94
660,ARSS Infra,450.0,3rd Mar,640.0,736.3,63.62,21.2,-95.29
661,Hathway Cable,240.0,25th Feb,246.0,41.56,-82.68,28.25,-88.23
662,Emmbi Ind,45.0,24th Feb,46.0,28.65,-36.33,80.2,78.22
663,DB Realty,468.0,24th Feb,452.1,455.4,-2.69,24.9,-94.68
664,Aqua Logistics,220.0,23rd Feb,225.0,24.46,-88.88,1.4,-99.36
665,Thangamayil,75.0,19th Feb,70.0,71.1,-5.2,596.0,694.67
666,Syncom Health,75.0,15th Feb,88.0,87.85,17.13,2.25,-97.0
667,Vascon Engineer,165.0,15th Feb,155.9,146.38,-11.28,17.55,-89.36
668,Jubilant Food,145.0,8th Feb,160.0,114.5,-21.03,,1865.17
669,Infinite Comp,165.0,3rd Feb,178.35,184.51,11.82,473.75,187.12
